วันเดือนปี,Close,Open,High,Low,Volumn,% เปลี่ยน
20-Sep-18,"26,656.98","26,519.39","26,697.49","26,519.39",260.48M,0.95%
19-Sep-18,"26,405.76","26,287.84","26,464.41","26,280.76",251.33M,0.61%
18-Sep-18,"26,246.96","26,076.21","26,317.34","26,076.21",243.00M,0.71%
17-Sep-18,"26,062.12","26,151.66","26,184.47","26,030.35",230.23M,-0.35%
14-Sep-18,"26,154.67","26,169.56","26,211.11","26,068.29",228.64M,0.03%
13-Sep-18,"26,145.99","26,083.94","26,191.64","26,067.08",260.80M,0.57%
12-Sep-18,"25,998.92","25,989.07","26,145.72","25,929.43",282.77M,0.11%
11-Sep-18,"25,971.06","25,841.14","26,019.92","25,754.32",265.96M,0.44%
10-Sep-18,"25,857.07","25,991.91","26,039.96","25,854.13",252.17M,-0.23%
7-Sep-18,"25,916.54","25,951.02","26,002.99","25,818.39",281.35M,-0.31%
6-Sep-18,"25,995.87","25,973.02","26,073.68","25,880.84",262.38M,0.08%
5-Sep-18,"25,974.99","25,919.84","26,011.22","25,871.04",289.21M,0.09%
4-Sep-18,"25,952.48","25,916.07","25,971.77","25,805.95",254.60M,-0.05%
31-Aug-18,"25,964.82","25,964.85","26,028.83","25,879.77",273.44M,-0.09%
30-Aug-18,"25,986.92","26,099.01","26,104.37","25,934.80",240.44M,-0.53%
29-Aug-18,"26,124.57","26,082.53","26,167.94","26,035.30",214.96M,0.23%
28-Aug-18,"26,064.02","26,092.70","26,122.24","26,037.85",211.47M,0.06%
27-Aug-18,"26,049.64","25,882.71","26,067.57","25,882.71",220.51M,1.01%
24-Aug-18,"25,790.35","25,688.58","25,826.05","25,688.58",200.33M,0.52%
23-Aug-18,"25,656.98","25,714.86","25,762.56","25,608.02",213.27M,-0.30%
22-Aug-18,"25,733.60","25,825.06","25,836.16","25,722.43",200.48M,-0.34%
21-Aug-18,"25,822.29","25,786.99","25,888.82","25,784.90",241.62M,0.25%
20-Aug-18,"25,758.69","25,727.70","25,790.17","25,716.41",248.57M,0.35%
17-Aug-18,"25,669.32","25,550.80","25,728.16","25,521.66",284.16M,0.43%
16-Aug-18,"25,558.73","25,294.97","25,607.34","25,294.97",342.43M,1.58%
15-Aug-18,"25,162.41","25,235.37","25,235.37","24,965.77",295.81M,-0.54%
14-Aug-18,"25,299.92","25,215.69","25,339.51","25,201.87",219.21M,0.45%
13-Aug-18,"25,187.70","25,327.19","25,381.39","25,153.93",219.99M,-0.50%
10-Aug-18,"25,313.14","25,401.19","25,401.19","25,222.88",234.48M,-0.77%
9-Aug-18,"25,509.23","25,589.79","25,613.31","25,492.69",214.97M,-0.29%
8-Aug-18,"25,583.75","25,615.72","25,634.11","25,557.48",217.77M,-0.18%
7-Aug-18,"25,628.91","25,551.65","25,692.72","25,551.65",239.91M,0.50%
6-Aug-18,"25,502.18","25,437.43","25,540.02","25,381.38",238.99M,0.16%
3-Aug-18,"25,462.58","25,360.37","25,467.90","25,325.17",239.02M,0.54%
2-Aug-18,"25,326.16","25,256.45","25,360.48","25,120.07",307.70M,-0.03%
1-Aug-18,"25,333.82","25,461.63","25,488.80","25,278.32",315.88M,-0.32%
31-Jul-18,"25,415.19","25,345.21","25,490.98","25,345.21",348.70M,0.43%
30-Jul-18,"25,306.83","25,439.32","25,500.16","25,287.38",296.88M,-0.57%
27-Jul-18,"25,451.06","25,520.52","25,580.22","25,370.07",329.68M,-0.30%
26-Jul-18,"25,527.07","25,468.55","25,587.24","25,463.16",297.53M,0.44%
25-Jul-18,"25,414.10","25,183.70","25,432.87","25,113.55",273.67M,0.68%
24-Jul-18,"25,241.94","25,092.43","25,286.62","25,092.43",274.94M,0.79%
23-Jul-18,"25,044.29","25,036.90","25,081.45","24,983.33",228.82M,-0.06%
20-Jul-18,"25,058.12","25,041.14","25,124.10","24,986.35",274.08M,-0.03%
19-Jul-18,"25,064.50","25,139.15","25,154.17","25,052.62",285.76M,-0.53%
18-Jul-18,"25,199.29","25,133.79","25,215.32","25,101.12",252.87M,0.32%
17-Jul-18,"25,119.89","25,033.92","25,155.39","24,989.61",250.45M,0.22%
16-Jul-18,"25,064.36","25,025.58","25,072.41","24,979.64",231.27M,0.18%
13-Jul-18,"25,019.41","24,926.07","25,043.21","24,890.06",255.52M,0.38%
12-Jul-18,"24,924.89","24,802.90","24,939.97","24,802.90",233.15M,0.91%
11-Jul-18,"24,700.45","24,789.48","24,815.16","24,663.82",237.37M,-0.88%
10-Jul-18,"24,919.66","24,806.97","24,945.38","24,806.97",235.04M,0.58%
9-Jul-18,"24,776.59","24,519.20","24,796.52","24,518.43",240.58M,1.31%
6-Jul-18,"24,456.48","24,352.47","24,520.29","24,281.47",219.45M,0.41%
5-Jul-18,"24,356.74","24,285.82","24,372.80","24,177.44",237.67M,0.75%
3-Jul-18,"24,174.82","24,359.39","24,444.88","24,150.85",160.96M,-0.54%
2-Jul-18,"24,307.18","24,161.53","24,319.42","24,077.56",244.11M,0.15%
29-Jun-18,"24,271.41","24,323.93","24,509.52","24,269.71",329.07M,0.23%
28-Jun-18,"24,216.05","24,064.19","24,308.16","23,997.21",305.02M,0.41%
27-Jun-18,"24,117.59","24,303.11","24,569.02","24,115.82",313.79M,-0.68%
26-Jun-18,"24,283.11","24,281.89","24,384.21","24,241.22",301.13M,0.12%
25-Jun-18,"24,252.80","24,463.73","24,463.73","24,084.39",439.13M,-1.33%
22-Jun-18,"24,580.89","24,526.97","24,663.18","24,526.97",473.97M,0.49%
21-Jun-18,"24,461.70","24,639.21","24,639.21","24,406.63",349.57M,-0.80%
20-Jun-18,"24,657.80","24,771.17","24,804.76","24,628.39",359.52M,-0.17%
19-Jun-18,"24,700.21","24,763.59","24,763.59","24,567.75",376.38M,-1.15%
18-Jun-18,"24,987.47","24,944.28","25,003.10","24,825.77",337.07M,-0.41%
15-Jun-18,"25,090.48","25,116.71","25,130.82","24,894.38",659.37M,-0.34%
14-Jun-18,"25,175.31","25,254.65","25,332.50","25,138.60",341.17M,-0.10%
13-Jun-18,"25,201.20","25,328.65","25,362.07","25,191.42",329.70M,-0.47%
12-Jun-18,"25,320.73","25,346.82","25,364.37","25,247.04",265.75M,-0.01%
11-Jun-18,"25,322.31","25,336.67","25,402.83","25,290.20",276.74M,0.02%
8-Jun-18,"25,316.53","25,209.29","25,325.63","25,165.70",317.51M,0.30%
7-Jun-18,"25,241.41","25,192.14","25,326.09","25,164.48",357.68M,0.38%
6-Jun-18,"25,146.39","24,854.14","25,146.46","24,854.14",316.09M,1.40%
5-Jun-18,"24,799.98","24,820.12","24,838.78","24,710.82",306.34M,-0.06%
4-Jun-18,"24,813.69","24,727.55","24,859.37","24,722.14",340.40M,0.72%
1-Jun-18,"24,635.21","24,542.09","24,673.60","24,542.09",315.71M,0.90%
31-May-18,"24,415.84","24,620.79","24,620.79","24,352.15",429.74M,-1.02%
30-May-18,"24,667.78","24,467.83","24,714.48","24,459.09",324.87M,1.26%
29-May-18,"24,361.45","24,606.59","24,635.18","24,247.84",395.81M,-1.58%
25-May-18,"24,753.09","24,781.29","24,824.22","24,687.81",257.21M,-0.24%
24-May-18,"24,811.76","24,877.36","24,877.36","24,605.90",347.05M,-0.30%
23-May-18,"24,886.81","24,757.71","24,889.46","24,667.12",399.61M,0.21%
22-May-18,"24,834.41","25,047.55","25,064.99","24,812.06",288.20M,-0.72%
21-May-18,"25,013.29","24,883.06","25,086.49","24,883.06",308.92M,1.21%
18-May-18,"24,715.09","24,707.72","24,774.97","24,664.87",269.70M,0.00%
17-May-18,"24,713.98","24,752.40","24,839.49","24,639.40",314.65M,-0.22%
16-May-18,"24,768.93","24,722.32","24,801.19","24,672.79",280.81M,0.25%
15-May-18,"24,706.41","24,809.55","24,809.55","24,629.39",301.90M,-0.78%
14-May-18,"24,899.41","24,879.37","24,994.19","24,862.52",282.86M,0.27%
11-May-18,"24,831.17","24,758.64","24,868.65","24,717.50",274.15M,0.37%
10-May-18,"24,739.53","24,591.66","24,794.99","24,575.91",304.21M,0.80%
9-May-18,"24,542.54","24,399.18","24,586.48","24,323.87",361.58M,0.75%
8-May-18,"24,360.21","24,341.35","24,412.34","24,198.34",344.94M,0.01%
7-May-18,"24,357.32","24,317.66","24,479.45","24,263.42",307.67M,0.39%
4-May-18,"24,262.51","23,865.22","24,333.35","23,778.87",329.48M,1.39%
3-May-18,"23,930.15","23,836.23","23,996.15","23,531.31",389.24M,0.02%
2-May-18,"23,924.98","24,097.63","24,185.52","23,886.30",385.35M,-0.72%
1-May-18,"24,099.05","24,117.29","24,117.29","23,808.19",380.07M,-0.27%
30-Apr-18,"24,163.15","24,410.41","24,498.23","24,163.08",416.65M,-0.61%
27-Apr-18,"24,311.19","24,342.14","24,359.38","24,194.45",392.81M,-0.05%
26-Apr-18,"24,322.34","24,128.72","24,402.46","24,128.72",390.36M,0.99%
25-Apr-18,"24,083.83","24,070.20","24,146.34","23,823.08",437.10M,0.25%
24-Apr-18,"24,024.13","24,579.94","24,579.94","23,828.73",468.18M,-1.74%
23-Apr-18,"24,448.69","24,488.07","24,536.89","24,328.54",351.03M,-0.06%
20-Apr-18,"24,462.94","24,657.39","24,678.07","24,375.04",537.77M,-0.82%
19-Apr-18,"24,664.89","24,711.30","24,762.48","24,557.03",381.11M,-0.34%
18-Apr-18,"24,748.07","24,820.85","24,832.54","24,721.09",302.03M,-0.16%
17-Apr-18,"24,786.63","24,681.79","24,858.97","24,681.79",342.41M,0.87%
16-Apr-18,"24,573.04","24,483.15","24,675.36","24,480.20",305.07M,0.87%
13-Apr-18,"24,360.14","24,582.82","24,646.45","24,243.74",331.89M,-0.50%
12-Apr-18,"24,483.05","24,302.82","24,592.12","24,302.82",336.13M,1.21%
11-Apr-18,"24,189.45","24,274.19","24,366.57","24,150.87",286.36M,-0.90%
10-Apr-18,"24,408.00","24,198.95","24,511.35","24,198.95",368.59M,1.79%
9-Apr-18,"23,979.10","24,037.52","24,373.18","23,954.83",380.79M,0.19%
6-Apr-18,"23,932.76","24,373.60","24,434.40","23,738.20",395.99M,-2.34%
5-Apr-18,"24,505.22","24,313.91","24,622.26","24,313.91",347.79M,0.99%
4-Apr-18,"24,264.30","23,654.15","24,308.96","23,523.16",388.54M,0.96%
3-Apr-18,"24,033.36","23,698.33","24,044.35","23,664.33",394.13M,1.65%
2-Apr-18,"23,644.19","24,076.60","24,123.80","23,344.52",509.82M,-1.90%
29-Mar-18,"24,103.11","23,949.18","24,314.30","23,928.13",463.55M,1.07%
28-Mar-18,"23,848.42","23,883.08","24,092.47","23,728.67",530.04M,-0.04%
27-Mar-18,"23,857.71","24,276.62","24,446.22","23,708.73",524.48M,-1.43%
26-Mar-18,"24,202.60","23,825.74","24,232.30","23,741.22",479.54M,2.84%
23-Mar-18,"23,533.20","23,995.18","24,108.47","23,509.06",482.55M,-1.77%
22-Mar-18,"23,957.89","24,526.01","24,526.01","23,938.74",439.28M,-2.93%
21-Mar-18,"24,682.31","24,723.49","24,977.65","24,655.40",343.23M,-0.18%
20-Mar-18,"24,727.27","24,650.64","24,803.61","24,650.64",342.51M,0.47%
19-Mar-18,"24,610.91","24,893.69","24,893.69","24,453.14",377.99M,-1.35%
16-Mar-18,"24,946.51","24,877.34","25,031.00","24,857.09",654.24M,0.29%
15-Mar-18,"24,873.66","24,837.29","25,053.87","24,753.29",316.31M,0.47%
14-Mar-18,"24,758.12","25,086.97","25,130.12","24,668.83",356.83M,-1.00%
13-Mar-18,"25,007.03","25,257.75","25,376.40","24,947.50",447.88M,-0.68%
12-Mar-18,"25,178.61","25,372.44","25,449.15","25,152.02",362.58M,-0.62%
9-Mar-18,"25,335.74","25,004.89","25,336.33","25,004.89",371.57M,1.77%
8-Mar-18,"24,895.21","24,853.41","24,950.49","24,703.05",327.30M,0.38%
7-Mar-18,"24,801.36","24,758.15","24,849.68","24,535.12",394.07M,-0.33%
6-Mar-18,"24,884.12","24,965.89","24,995.24","24,708.41",331.77M,0.04%
5-Mar-18,"24,874.76","24,471.31","24,961.00","24,387.15",383.91M,1.37%
2-Mar-18,"24,538.06","24,394.91","24,592.46","24,217.76",437.13M,-0.29%
1-Mar-18,"24,608.98","25,024.04","25,185.35","24,442.56",506.28M,-1.68%
28-Feb-18,"25,029.20","25,485.15","25,576.15","25,022.42",451.87M,-1.50%
27-Feb-18,"25,410.03","25,735.78","25,800.35","25,407.83",438.39M,-1.16%
26-Feb-18,"25,709.27","25,403.35","25,732.80","25,398.56",473.36M,1.58%
23-Feb-18,"25,309.99","25,050.51","25,313.91","25,028.73",335.42M,1.39%
22-Feb-18,"24,962.48","24,855.41","25,156.72","24,854.83",378.90M,0.66%
21-Feb-18,"24,797.78","24,988.06","25,267.99","24,792.99",456.07M,-0.67%
20-Feb-18,"24,964.75","25,124.91","25,179.01","24,884.19",421.51M,-1.01%
16-Feb-18,"25,219.38","25,165.94","25,432.42","25,149.26",406.73M,0.08%
15-Feb-18,"25,200.37","25,047.82","25,203.95","24,809.42",416.78M,1.23%
14-Feb-18,"24,893.49","24,535.82","24,925.95","24,490.36",431.16M,1.03%
13-Feb-18,"24,640.45","24,540.33","24,705.72","24,421.03",374.41M,0.16%
12-Feb-18,"24,601.27","24,337.76","24,765.16","24,290.48",496.61M,1.70%
9-Feb-18,"24,190.90","23,992.67","24,382.14","23,360.29",735.03M,1.38%
8-Feb-18,"23,860.46","24,902.30","24,903.68","23,849.23",657.50M,-4.15%
7-Feb-18,"24,893.35","24,892.87","25,293.96","24,785.44",504.62M,-0.08%
6-Feb-18,"24,912.77","24,085.17","24,946.23","23,778.74",823.94M,2.33%
5-Feb-18,"24,345.75","25,337.87","25,520.53","23,923.88",714.45M,-4.60%
2-Feb-18,"25,520.96","26,061.79","26,061.79","25,490.66",522.88M,-2.54%
1-Feb-18,"26,186.71","26,083.04","26,306.70","26,014.44",410.62M,0.14%
31-Jan-18,"26,149.39","26,268.17","26,338.03","26,050.98",479.13M,0.28%
30-Jan-18,"26,076.89","26,198.45","26,256.99","26,028.42",448.33M,-1.37%
29-Jan-18,"26,439.48","26,584.28","26,608.90","26,435.34",421.00M,-0.67%
26-Jan-18,"26,616.71","26,466.74","26,616.71","26,425.35",477.78M,0.85%
25-Jan-18,"26,392.79","26,313.06","26,458.25","26,259.72",401.39M,0.54%
24-Jan-18,"26,252.12","26,282.07","26,392.80","26,106.94",518.79M,0.16%
23-Jan-18,"26,210.81","26,214.87","26,246.19","26,143.90",433.49M,-0.01%
22-Jan-18,"26,214.60","26,025.32","26,215.23","25,974.65",431.20M,0.55%
19-Jan-18,"26,071.72","25,987.35","26,071.72","25,942.83",585.00M,0.21%
18-Jan-18,"26,017.81","26,149.55","26,153.42","25,947.32",492.78M,-0.37%
17-Jan-18,"26,115.65","25,910.78","26,130.45","25,865.02",522.72M,1.25%
16-Jan-18,"25,792.86","25,987.62","26,086.12","25,702.99",606.52M,-0.04%
12-Jan-18,"25,803.19","25,638.39","25,810.43","25,633.08",376.39M,0.89%
11-Jan-18,"25,574.73","25,398.60","25,575.42","25,396.19",346.83M,0.81%
10-Jan-18,"25,369.13","25,348.13","25,404.92","25,256.99",341.47M,-0.07%
9-Jan-18,"25,385.80","25,312.05","25,439.78","25,308.41",333.49M,0.41%
8-Jan-18,"25,283.00","25,308.40","25,311.99","25,235.41",341.39M,-0.05%
5-Jan-18,"25,295.87","25,114.92","25,299.79","25,112.01",358.02M,0.88%
4-Jan-18,"25,075.13","24,964.86","25,105.96","24,963.27",403.28M,0.61%
3-Jan-18,"24,922.68","24,850.45","24,941.92","24,825.55",456.79M,0.40%
2-Jan-18,"24,824.01","24,809.35","24,864.19","24,741.70",341.13M,0.42%
29-Dec-17,"24,719.22","24,849.63","24,871.66","24,719.22",270.76M,-0.48%
28-Dec-17,"24,837.51","24,807.21","24,839.23","24,797.13",200.96M,0.26%
27-Dec-17,"24,774.30","24,766.52","24,789.52","24,731.68",225.89M,0.11%
26-Dec-17,"24,746.21","24,715.84","24,778.13","24,708.42",208.29M,-0.03%
22-Dec-17,"24,754.06","24,764.04","24,784.15","24,717.51",255.14M,-0.11%
21-Dec-17,"24,782.29","24,778.26","24,850.91","24,766.27",339.53M,0.23%
20-Dec-17,"24,726.65","24,838.09","24,852.44","24,697.11",341.79M,-0.11%
19-Dec-17,"24,754.75","24,834.38","24,850.11","24,715.60",335.33M,-0.15%
18-Dec-17,"24,792.20","24,739.56","24,876.07","24,739.56",354.88M,0.57%
15-Dec-17,"24,651.74","24,585.71","24,688.62","24,584.44",635.74M,0.58%
14-Dec-17,"24,508.66","24,631.01","24,672.48","24,508.66",314.78M,-0.31%
13-Dec-17,"24,585.43","24,525.19","24,666.02","24,518.30",325.28M,0.33%
12-Dec-17,"24,504.80","24,452.96","24,552.97","24,443.83",342.22M,0.49%
11-Dec-17,"24,386.03","24,338.11","24,389.72","24,314.74",300.58M,0.23%
8-Dec-17,"24,329.16","24,263.26","24,330.12","24,225.50",293.59M,0.49%
7-Dec-17,"24,211.48","24,116.60","24,262.88","24,101.24",319.06M,0.29%
6-Dec-17,"24,140.91","24,157.85","24,229.19","24,134.49",312.72M,-0.16%
5-Dec-17,"24,180.64","24,335.01","24,349.74","24,155.28",371.19M,-0.45%
4-Dec-17,"24,290.05","24,424.11","24,534.04","24,288.19",424.25M,0.24%
1-Dec-17,"24,231.59","24,305.40","24,322.06","23,921.90",417.91M,-0.17%
30-Nov-17,"24,272.35","24,013.80","24,327.82","24,013.80",488.20M,1.39%
29-Nov-17,"23,940.68","23,883.26","23,959.76","23,872.59",401.41M,0.44%
28-Nov-17,"23,836.71","23,625.19","23,849.61","23,617.11",319.24M,1.09%
27-Nov-17,"23,580.78","23,552.86","23,638.92","23,545.02",296.32M,0.10%
24-Nov-17,"23,557.99","23,552.75","23,599.18","23,551.59",118.61M,0.14%
22-Nov-17,"23,526.18","23,597.24","23,605.77","23,507.61",268.76M,-0.27%
21-Nov-17,"23,590.83","23,500.15","23,617.80","23,500.15",329.65M,0.69%
20-Nov-17,"23,430.33","23,370.71","23,456.88","23,360.58",315.33M,0.31%
17-Nov-17,"23,358.24","23,433.77","23,433.77","23,356.01",386.00M,-0.43%
16-Nov-17,"23,458.36","23,365.34","23,492.19","23,365.34",402.02M,0.80%
15-Nov-17,"23,271.28","23,334.59","23,344.99","23,242.75",404.30M,-0.59%
14-Nov-17,"23,409.47","23,388.40","23,414.08","23,271.57",561.33M,-0.13%
13-Nov-17,"23,439.70","23,367.47","23,461.68","23,343.34",491.26M,0.07%
10-Nov-17,"23,422.21","23,432.71","23,452.20","23,392.96",351.28M,-0.17%
9-Nov-17,"23,461.94","23,492.09","23,516.74","23,310.02",305.44M,-0.43%
8-Nov-17,"23,563.36","23,542.60","23,575.00","23,510.56",264.67M,0.03%
7-Nov-17,"23,557.23","23,574.03","23,602.12","23,484.19",285.08M,0.04%
6-Nov-17,"23,548.42","23,533.96","23,574.86","23,520.75",325.19M,0.04%
3-Nov-17,"23,539.19","23,549.59","23,557.06","23,481.57",312.25M,0.10%
2-Nov-17,"23,516.26","23,463.24","23,531.38","23,350.98",348.04M,0.35%
1-Nov-17,"23,435.01","23,442.90","23,517.71","23,388.91",361.26M,0.25%
31-Oct-17,"23,377.24","23,369.22","23,406.35","23,334.39",388.05M,0.12%
30-Oct-17,"23,348.74","23,405.75","23,428.75","23,327.87",436.90M,-0.36%
27-Oct-17,"23,434.19","23,419.16","23,449.40","23,353.16",518.87M,0.14%
26-Oct-17,"23,400.86","23,380.89","23,459.84","23,380.89",370.60M,0.31%
25-Oct-17,"23,329.46","23,431.09","23,451.51","23,251.11",399.56M,-0.48%
24-Oct-17,"23,441.76","23,346.78","23,485.25","23,343.23",406.85M,0.72%
23-Oct-17,"23,273.96","23,348.95","23,368.37","23,273.96",456.83M,-0.23%
20-Oct-17,"23,328.63","23,205.18","23,328.84","23,201.78",474.38M,0.71%
19-Oct-17,"23,163.04","23,107.47","23,167.24","23,052.67",350.40M,0.02%
18-Oct-17,"23,157.60","23,087.13","23,172.93","23,086.75",271.87M,0.70%
17-Oct-17,"22,997.44","22,952.41","23,002.20","22,948.23",273.09M,0.18%
16-Oct-17,"22,956.96","22,892.92","22,960.12","22,887.12",247.18M,0.37%
13-Oct-17,"22,871.72","22,876.43","22,905.33","22,855.93",259.56M,0.13%
12-Oct-17,"22,841.01","22,854.85","22,884.82","22,821.13",291.79M,-0.14%
11-Oct-17,"22,872.89","22,827.65","22,872.89","22,821.66",316.00M,0.18%
10-Oct-17,"22,830.68","22,784.76","22,850.51","22,770.99",319.27M,0.31%
9-Oct-17,"22,761.07","22,779.73","22,803.37","22,739.38",310.77M,-0.06%
6-Oct-17,"22,773.67","22,762.03","22,773.67","22,730.85",221.45M,-0.01%
5-Oct-17,"22,775.39","22,669.08","22,777.04","22,655.14",246.40M,0.50%
4-Oct-17,"22,661.64","22,645.67","22,685.94","22,632.80",235.73M,0.09%
3-Oct-17,"22,641.67","22,564.45","22,646.32","22,562.90",238.83M,0.37%
2-Oct-17,"22,557.60","22,423.47","22,559.38","22,416.00",268.53M,0.68%
29-Sep-17,"22,405.09","22,358.47","22,405.63","22,332.96",274.79M,0.11%
28-Sep-17,"22,381.20","22,306.83","22,394.74","22,288.97",263.01M,0.18%
27-Sep-17,"22,340.71","22,330.93","22,371.10","22,254.93",342.90M,0.25%
26-Sep-17,"22,284.32","22,322.03","22,369.35","22,279.52",285.99M,-0.05%
25-Sep-17,"22,296.09","22,320.47","22,359.88","22,219.11",332.43M,-0.24%
22-Sep-17,"22,349.59","22,334.07","22,364.31","22,299.58",297.14M,-0.04%
21-Sep-17,"22,359.23","22,414.02","22,419.51","22,356.55",287.39M,-0.24%
20-Sep-17,"22,412.59","22,351.38","22,413.26","22,314.68",334.56M,0.19%
19-Sep-17,"22,370.80","22,349.70","22,386.01","22,340.71",295.57M,0.18%
18-Sep-17,"22,331.35","22,297.92","22,355.62","22,283.35",302.74M,0.28%
15-Sep-17,"22,268.34","22,252.44","22,275.02","22,214.52",527.54M,0.29%
14-Sep-17,"22,203.48","22,144.96","22,216.44","22,135.26",297.78M,0.20%
13-Sep-17,"22,158.18","22,103.47","22,158.18","22,095.79",291.89M,0.18%
12-Sep-17,"22,118.86","22,090.56","22,134.57","22,087.09",364.58M,0.28%
11-Sep-17,"22,057.37","21,927.79","22,067.10","21,927.79",312.77M,1.19%
8-Sep-17,"21,797.79","21,764.43","21,846.63","21,731.12",289.40M,0.06%
7-Sep-17,"21,784.78","21,820.38","21,850.01","21,745.71",333.81M,-0.10%
6-Sep-17,"21,807.64","21,815.76","21,849.24","21,794.07",318.76M,0.25%
5-Sep-17,"21,753.31","21,912.37","21,921.09","21,709.63",332.84M,-1.07%
1-Sep-17,"21,987.56","21,981.77","22,038.97","21,974.91",256.24M,0.18%
31-Aug-17,"21,948.10","21,936.01","21,985.76","21,910.50",376.79M,0.25%
30-Aug-17,"21,892.43","21,859.76","21,914.26","21,839.47",242.84M,0.12%
29-Aug-17,"21,865.37","21,718.00","21,879.22","21,673.58",227.34M,0.26%
28-Aug-17,"21,808.40","21,832.50","21,861.49","21,767.94",218.74M,-0.02%
25-Aug-17,"21,813.67","21,819.08","21,906.86","21,812.81",217.57M,0.14%
24-Aug-17,"21,783.40","21,839.90","21,870.11","21,765.82",228.48M,-0.13%
23-Aug-17,"21,812.09","21,850.27","21,866.66","21,808.39",234.81M,-0.40%
22-Aug-17,"21,899.89","21,739.78","21,912.83","21,738.13",244.98M,0.90%
21-Aug-17,"21,703.75","21,671.36","21,718.74","21,600.34",277.88M,0.13%
18-Aug-17,"21,674.51","21,724.88","21,793.35","21,641.63",309.07M,-0.35%
17-Aug-17,"21,750.73","21,984.74","21,984.74","21,750.32",311.03M,-1.24%
16-Aug-17,"22,024.87","22,031.93","22,085.71","22,002.47",264.92M,0.12%
15-Aug-17,"21,998.99","22,029.91","22,038.92","21,971.48",269.07M,0.02%
14-Aug-17,"21,993.71","21,945.64","22,019.23","21,945.64",235.03M,0.62%
11-Aug-17,"21,858.32","21,883.32","21,911.09","21,842.74",237.79M,0.07%
10-Aug-17,"21,844.01","21,988.20","21,988.20","21,843.94",303.31M,-0.93%
9-Aug-17,"22,048.70","22,022.34","22,057.19","21,996.69",277.80M,-0.17%
8-Aug-17,"22,085.34","22,095.14","22,179.11","22,057.29",262.00M,-0.15%
7-Aug-17,"22,118.42","22,100.20","22,121.15","22,081.97",213.01M,0.12%
4-Aug-17,"22,092.81","22,058.39","22,092.81","22,024.64",253.64M,0.30%
3-Aug-17,"22,026.10","22,007.58","22,044.85","21,991.32",278.73M,0.04%
2-Aug-17,"22,016.24","22,004.36","22,036.10","21,967.46",336.82M,0.24%
1-Aug-17,"21,963.92","21,961.42","21,990.96","21,940.81",328.41M,0.33%
31-Jul-17,"21,891.12","21,863.39","21,929.80","21,861.71",307.61M,0.28%
28-Jul-17,"21,830.31","21,787.51","21,841.18","21,756.12",285.63M,0.15%
27-Jul-17,"21,796.55","21,717.42","21,798.47","21,687.85",407.32M,0.39%
26-Jul-17,"21,711.01","21,690.38","21,742.70","21,683.29",278.24M,0.45%
25-Jul-17,"21,613.43","21,638.56","21,670.62","21,577.37",304.30M,0.47%
24-Jul-17,"21,513.17","21,577.78","21,577.78","21,496.13",284.08M,-0.31%
21-Jul-17,"21,580.07","21,591.72","21,592.61","21,503.78",362.83M,-0.15%
20-Jul-17,"21,611.78","21,641.54","21,661.91","21,576.96",313.95M,-0.13%
19-Jul-17,"21,640.75","21,569.25","21,640.75","21,565.84",253.04M,0.31%
18-Jul-17,"21,574.73","21,589.94","21,589.94","21,471.14",251.11M,-0.25%
17-Jul-17,"21,629.72","21,633.97","21,661.81","21,617.66",244.78M,-0.04%
14-Jul-17,"21,637.74","21,532.77","21,681.53","21,521.72",235.59M,0.39%
13-Jul-17,"21,553.09","21,537.19","21,568.72","21,512.36",232.27M,0.10%
12-Jul-17,"21,532.14","21,467.93","21,580.79","21,467.93",267.87M,0.57%
11-Jul-17,"21,409.07","21,410.17","21,441.62","21,279.30",247.57M,0.00%
10-Jul-17,"21,408.52","21,381.23","21,446.39","21,371.11",270.34M,-0.03%
7-Jul-17,"21,414.34","21,354.66","21,425.82","21,350.72",242.24M,0.44%
6-Jul-17,"21,320.04","21,423.93","21,433.10","21,305.38",320.45M,-0.74%
5-Jul-17,"21,478.17","21,492.83","21,505.36","21,404.76",273.69M,-0.01%
3-Jul-17,"21,479.27","21,392.30","21,562.75","21,391.71",186.81M,0.61%
30-Jun-17,"21,349.63","21,348.60","21,426.12","21,325.08",313.26M,0.29%
29-Jun-17,"21,287.03","21,487.38","21,487.38","21,197.08",336.75M,-0.78%
28-Jun-17,"21,454.61","21,372.36","21,478.75","21,372.36",271.51M,0.68%
27-Jun-17,"21,310.66","21,411.19","21,440.60","21,310.66",292.17M,-0.46%
26-Jun-17,"21,409.55","21,434.68","21,506.21","21,381.25",241.88M,0.07%
23-Jun-17,"21,394.76","21,380.92","21,421.79","21,333.89",368.40M,-0.01%
22-Jun-17,"21,397.29","21,407.98","21,456.47","21,394.81",270.68M,-0.06%
21-Jun-17,"21,410.03","21,466.39","21,492.62","21,390.00",292.50M,-0.27%
20-Jun-17,"21,467.14","21,521.25","21,535.03","21,464.24",310.20M,-0.29%
19-Jun-17,"21,528.99","21,444.75","21,528.99","21,436.08",289.40M,0.68%
16-Jun-17,"21,384.28","21,335.93","21,384.42","21,308.01",603.26M,0.11%
15-Jun-17,"21,359.90","21,291.69","21,367.28","21,261.87",317.20M,-0.07%
14-Jun-17,"21,374.56","21,342.71","21,391.97","21,294.09",295.09M,0.22%
13-Jun-17,"21,328.47","21,256.83","21,332.77","21,256.83",323.51M,0.44%
